Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
638db05a3fe9effd515f2a55,5b656977dc84c6000173c7b8,APPROVED,2022-12-05T08:49:01.615000Z,2022-12-05T09:00:36.371000Z,2022-12-05T12:47:02.390000,2022-12-05T09:00:36.750564Z,695,C648PKXQ,277,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db05b5e54e0f3187c0e55,62c4590804317dc197ecbe8a,APPROVED,2022-12-05T08:48:42.282000Z,2022-12-05T09:06:20.549000Z,2022-12-05T12:47:02.499000,2022-12-05T09:06:20.958616Z,1059,C648PKXQ,298,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638db05e96b36c826b88a174,62a33c442c64c9d129b53f32,APPROVED,2022-12-05T08:48:39.460000Z,2022-12-05T09:00:47.389000Z,2022-12-05T12:47:02.621000,2022-12-05T09:00:47.750220Z,728,C648PKXQ,78,66,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638db0600c95ac92e078fe63,62d9be690206e1b4f007eacb,APPROVED,2022-12-05T08:48:34.788000Z,2022-12-05T09:00:45.349000Z,2022-12-05T12:47:02.728000,2022-12-05T09:00:45.713414Z,731,C648PKXQ,233,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db06249793690e278fe7e,5ea04e9dbb81f60726da2182,APPROVED,2022-12-05T08:48:34.594000Z,2022-12-05T08:58:42.593000Z,2022-12-05T12:47:02.834000,2022-12-05T08:58:42.964224Z,608,C648PKXQ,1081,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638db063f598eb1499889c1e,5c5cad3e4ee81200018eafe2,APPROVED,2022-12-05T08:48:35.556000Z,2022-12-05T09:00:27.933000Z,2022-12-05T12:47:02.935000,2022-12-05T09:00:29.892177Z,713,C648PKXQ,2543,70,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db0651566d0c363ccdc6d,5cd96f8362a9dc0019cf4f67,APPROVED,2022-12-05T08:48:41.407000Z,2022-12-05T08:54:02.953000Z,2022-12-05T12:47:03.049000,2022-12-05T08:54:03.274743Z,322,C648PKXQ,608,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
638db065ef8f76ada4d83b44,5a460b57b77a5000014a890c,APPROVED,2022-12-05T08:48:47.324000Z,2022-12-05T08:56:55.273000Z,2022-12-05T12:47:03.154000,2022-12-05T08:56:55.834323Z,488,C648PKXQ,1558,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
638db06617abcd0e9f488638,586d6b28de1cea0001f7a125,APPROVED,2022-12-05T08:48:45.482000Z,2022-12-05T08:56:36.859000Z,2022-12-05T12:47:03.257000,2022-12-05T08:56:37.254572Z,472,C648PKXQ,874,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db0668241b6e5c888a185,5bbd1d04df2fb80001733d30,APPROVED,2022-12-05T08:48:38.905000Z,2022-12-05T08:55:02.028000Z,2022-12-05T12:47:03.362000,2022-12-05T08:55:02.397195Z,384,C648PKXQ,425,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db0668f5b980b4b987558,6383482c715da8cc8ec1c980,APPROVED,2022-12-05T08:48:42.021000Z,2022-12-05T09:07:19.300000Z,2022-12-05T12:47:03.464000,2022-12-05T09:07:19.626794Z,1118,C648PKXQ,19,49,Female,White,Argentina,United Kingdom,Italy,Spanish,No,Full-Time
638db067ac4bd24cae0376ac,5ebdb2d48565890e4efe91d5,APPROVED,2022-12-05T08:48:39.880000Z,2022-12-05T08:58:44.740000Z,2022-12-05T12:47:03.568000,2022-12-05T08:58:45.075506Z,605,C648PKXQ,671,36,Female,Black,Zambia,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
638db0683e76093a0462412b,60dba539f83a896ab389fa7e,APPROVED,2022-12-05T08:48:45.906000Z,2022-12-05T08:57:29.766000Z,2022-12-05T12:47:03.671000,2022-12-05T08:57:30.138369Z,524,C648PKXQ,631,32,Male,White,Poland,United Kingdom,United Kingdom,Polish,No,DATA_EXPIRED
638db068a66bde93fd9ed50a,5a74c608527fd00001462f87,APPROVED,2022-12-05T08:48:51.195000Z,2022-12-05T08:59:48.567000Z,2022-12-05T12:47:03.776000,2022-12-05T08:59:48.991050Z,658,C648PKXQ,1202,81,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638db06984b03ef9af442ec5,574da26c7f1e770007f42d11,APPROVED,2022-12-05T08:48:48.810000Z,2022-12-05T08:57:19.734000Z,2022-12-05T12:47:03.881000,2022-12-05T08:57:20.168007Z,511,C648PKXQ,1891,67,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638db06992718e3e3d98fa8d,594ea461c6a70f00010aaa8d,APPROVED,2022-12-05T08:48:44.487000Z,2022-12-05T08:54:45.412000Z,2022-12-05T12:47:03.987000,2022-12-05T08:54:45.801386Z,361,C648PKXQ,1436,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db069cfd74aa3ba9b321a,5bdad3fa0bde32000170745b,APPROVED,2022-12-05T08:48:41.834000Z,2022-12-05T08:59:10.907000Z,2022-12-05T12:47:04.089000,2022-12-05T08:59:11.255679Z,630,C648PKXQ,1089,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638db06a96b36c826b88a176,5d4551340196ac0001b914a5,APPROVED,2022-12-05T08:48:46.505000Z,2022-12-05T09:01:08.335000Z,2022-12-05T12:47:04.190000,2022-12-05T09:01:08.688899Z,742,C648PKXQ,853,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638db06adc9601cf80d83b59,5d1e3a4851bab9000116226f,APPROVED,2022-12-05T08:48:42.580000Z,2022-12-05T08:52:30.955000Z,2022-12-05T12:47:04.292000,2022-12-05T08:52:31.326013Z,229,C648PKXQ,1251,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db06b993b646d419a6299,5a5b6255f6c5170001950ae0,APPROVED,2022-12-05T08:48:43.970000Z,2022-12-05T09:01:45.961000Z,2022-12-05T12:47:04.393000,2022-12-05T09:01:46.301394Z,782,C648PKXQ,802,41,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
638db06d5e54e0f3187c0e56,5c921106b788a2000170709f,APPROVED,2022-12-05T08:48:51.138000Z,2022-12-05T08:54:52.273000Z,2022-12-05T12:47:04.499000,2022-12-05T08:54:52.602018Z,362,C648PKXQ,1260,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
638db06dde9379e0de88a172,615f338fdbb7744db42e0f7f,APPROVED,2022-12-05T08:48:45.745000Z,2022-12-05T08:54:11.599000Z,2022-12-05T12:47:04.815000,2022-12-05T08:54:11.987329Z,326,C648PKXQ,575,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638db06e33c583aab007b74c,5999d56f05a0e30001f1ffc3,APPROVED,2022-12-05T08:48:54.881000Z,2022-12-05T08:55:26.092000Z,2022-12-05T12:47:04.928000,2022-12-05T08:55:26.509680Z,392,C648PKXQ,1737,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638db06ff4d0c4bd45ef5251,5efde724d80f81077c0800b9,APPROVED,2022-12-05T08:48:50.771000Z,2022-12-05T08:53:43.339000Z,2022-12-05T12:47:05.059000,2022-12-05T08:53:43.726502Z,293,C648PKXQ,1439,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db070de9379e0de88a173,5d98f7f0b8040b036861464f,APPROVED,2022-12-05T08:52:04.591000Z,2022-12-05T09:16:34.617000Z,2022-12-05T12:47:05.165000,2022-12-05T09:16:35.085917Z,1471,C648PKXQ,191,24,Female,White,Romania,United Kingdom,Romania,Romanian,No,Full-Time
638db07109dc59691bbf2f80,5f4b9740fdda0b04d86a533c,APPROVED,2022-12-05T08:50:37.675000Z,2022-12-05T09:07:35.911000Z,2022-12-05T12:47:05.293000,2022-12-05T09:07:36.334042Z,1019,C648PKXQ,1164,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db0715b09a4bdcc722ccf,632881c9c9d70f9b68301367,APPROVED,2022-12-05T08:48:49.635000Z,2022-12-05T08:54:07.805000Z,2022-12-05T12:47:05.422000,2022-12-05T08:54:08.170772Z,319,C648PKXQ,145,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db0720bb5af15dbbf2f6f,5e42855a6cc37110b1c4371e,APPROVED,2022-12-05T08:48:59.119000Z,2022-12-05T09:07:16.511000Z,2022-12-05T12:47:05.530000,2022-12-05T09:07:16.903398Z,1098,C648PKXQ,747,36,Female,White,United Kingdom,United Kingdom,Ireland,English,No,Full-Time
638db073b9487bb9c0f8c20f,62b43755f6be0c82be3cb760,APPROVED,2022-12-05T08:48:51.304000Z,2022-12-05T08:52:52.001000Z,2022-12-05T12:47:05.641000,2022-12-05T08:52:52.382972Z,241,C648PKXQ,300,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
638db073be2eaa7aca80e3e5,5cd310705882710018e544b0,APPROVED,2022-12-05T08:48:57.775000Z,2022-12-05T08:58:26.379000Z,2022-12-05T12:47:05.752000,2022-12-05T08:58:27.207864Z,569,C648PKXQ,1514,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
638db075907bd5dad2f8c1b5,607c91819b498b5a39bb8cbd,APPROVED,2022-12-05T08:49:38.963000Z,2022-12-05T09:05:51.443000Z,2022-12-05T12:47:05.859000,2022-12-05T09:05:51.779171Z,973,C648PKXQ,671,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
